Cycle,Current Task,,Real x[m],Real y[m],Filterd x[m],Filtered y[m],Delivery pos x[m],Delivery pos y[m],Robot move start flag
0,0,0.715306,-1.22263,0.705402,-1.21788,0,0,0,
1,0,0.724975,-1.21979,0.707649,-1.21839,0,0,0,
2,0,0.732384,-1.22497,0.710854,-1.219,0,0,0,
3,0,0.741166,-1.23086,0.714805,-1.22036,0,0,0,
4,0,0.745971,-1.23709,0.71919,-1.22243,0,0,0,
5,0,0.749476,-1.24414,0.723539,-1.2252,0,0,0,
6,0,0.748773,-1.24649,0.727439,-1.22827,0,0,0,
7,0,0.748814,-1.24727,0.730694,-1.23111,0,0,0,
8,0,0.748814,-1.24727,0.733456,-1.23357,0,0,0,
9,0,0.749871,-1.24843,0.735877,-1.23575,0,0,0,
10,0,0.758785,-1.2475,0.73869,-1.23761,0,0,0,
11,0,0.761084,-1.24578,0.741928,-1.23899,0,0,0,
12,0,0.766698,-1.24629,0.745276,-1.24006,0,0,0,
13,0,0.773415,-1.24904,0.749053,-1.24122,0,0,0,
14,0,0.773415,-1.24904,0.752766,-1.24241,0,0,0,
15,0,0.780824,-1.25146,0.756478,-1.24361,0,0,0,
16,0,0.784126,-1.25103,0.760441,-1.24477,0,0,0,
17,0,0.786825,-1.25052,0.764257,-1.24569,0,0,0,
18,0,0.78877,-1.24895,0.767845,-1.2463,0,0,0,
19,0,0.790303,-1.24734,0.771151,-1.24658,0,0,0,
20,0,0.79071,-1.24563,0.774101,-1.24657,0,0,0,
21,0,0.789854,-1.24336,0.776568,-1.24625,0,0,0,
22,0,0.788376,-1.24168,0.77848,-1.24568,0,0,0,
23,0,0.786663,-1.23983,0.779858,-1.24493,0,0,0,
24,0,0.783966,-1.23776,0.78069,-1.244,0,0,0,
25,0,0.780321,-1.23588,0.780911,-1.2429,0,0,0,
26,0,0.777264,-1.23449,0.780588,-1.24173,0,0,0,
27,0,0.775515,-1.23372,0.779948,-1.24056,0,0,0,
28,0,0.774842,-1.23095,0.779221,-1.23931,0,0,0,
29,0,0.774042,-1.22843,0.778493,-1.23784,0,0,0,
30,0,0.774215,-1.22547,0.777828,-1.23618,0,0,0,
31,0,0.772761,-1.22359,0.777166,-1.23441,0,0,0,
32,0,0.770981,-1.22258,0.776359,-1.23268,0,0,0,
33,0,0.769654,-1.22176,0.775438,-1.23108,0,0,0,
34,0,0.766987,-1.21991,0.774353,-1.22952,0,0,0,
35,0,0.766454,-1.21873,0.77319,-1.22796,0,0,0,
36,0,0.765572,-1.21695,0.772096,-1.22642,0,0,0,
37,0,0.764398,-1.21403,0.771012,-1.22475,0,0,0,
38,0,0.764315,-1.2115,0.769997,-1.22293,0,0,0,
39,0,0.763489,-1.20906,0.769068,-1.221,0,0,0,
40,0,0.762882,-1.20722,0.768172,-1.21904,0,0,0,
41,0,0.762262,-1.20563,0.767318,-1.21712,0,0,0,
42,0,0.761838,-1.20423,0.766515,-1.21526,0,0,0,
43,0,0.760987,-1.20317,0.765737,-1.2135,0,0,0,
44,0,0.760412,-1.20215,0.76497,-1.21185,0,0,0,
45,0,0.759862,-1.20139,0.764233,-1.21031,0,0,0,
46,0,0.759574,-1.2012,0.763545,-1.20894,0,0,0,
47,0,0.759294,-1.20069,0.762918,-1.20772,0,0,0,
48,0,0.759121,-1.20046,0.762352,-1.20663,0,0,0,
49,0,0.759089,-1.20033,0.761857,-1.20568,0,0,0,
50,0,0.758961,-1.20027,0.761426,-1.20486,0,0,0,
51,0,0.758264,-1.2006,0.760997,-1.20419,0,0,0,
52,0,0.757777,-1.20083,0.760543,-1.20366,0,0,0,
53,0,0.757261,-1.2009,0.760082,-1.20323,0,0,0,
54,0,0.756708,-1.20098,0.75961,-1.20288,0,0,0,
55,0,0.755617,-1.20114,0.759085,-1.2026,0,0,0,
56,0,0.754954,-1.20131,0.758506,-1.20239,0,0,0,
57,0,0.754002,-1.20173,0.757892,-1.20226,0,0,0,
58,0,0.753364,-1.20176,0.75725,-1.20218,0,0,0,
59,0,0.75279,-1.20208,0.756614,-1.20214,0,0,0,
60,0,0.752374,-1.20243,0.755999,-1.20216,0,0,0,
61,0,0.751965,-1.20276,0.755416,-1.20223,0,0,0,
62,0,0.75132,-1.20321,0.75484,-1.20234,0,0,0,
63,0,0.749698,-1.20398,0.75418,-1.20253,0,0,0,
64,0,0.748809,-1.20456,0.753429,-1.2028,0,0,0,
65,0,0.74858,-1.20489,0.752707,-1.20309,0,0,0,
66,0,0.747672,-1.20597,0.752009,-1.20345,0,0,0,
67,0,0.747168,-1.20726,0.75131,-1.20393,0,0,0,
68,0,0.746704,-1.20816,0.750643,-1.20451,0,0,0,
69,0,0.746278,-1.20897,0.75001,-1.20513,0,0,0,
70,0,0.745431,-1.21097,0.749377,-1.20586,0,0,0,
71,0,0.744711,-1.21268,0.74872,-1.20677,0,0,0,
72,0,0.744516,-1.21433,0.748094,-1.2078,0,0,0,
73,0,0.744131,-1.21569,0.74752,-1.2089,0,0,0,
74,0,0.743695,-1.2165,0.74697,-1.21,0,0,0,
75,0,0.743209,-1.21741,0.746434,-1.21106,0,0,0,
76,0,0.742161,-1.21848,0.745862,-1.21211,0,0,0,
77,0,0.741105,-1.21947,0.745218,-1.21315,0,0,0,
78,0,0.738986,-1.22083,0.744429,-1.21422,0,0,0,
79,0,0.73591,-1.22365,0.743365,-1.21544,0,0,0,
80,0,0.734643,-1.22495,0.742132,-1.21679,0,0,0,
81,0,0.731361,-1.22833,0.740741,-1.21829,0,0,0,
82,0,0.729023,-1.23193,0.739133,-1.2201,0,0,0,
83,0,0.726717,-1.23463,0.737416,-1.22211,0,0,0,
84,0,0.725801,-1.23639,0.735716,-1.22415,0,0,0,
85,0,0.725169,-1.23897,0.734156,-1.22621,0,0,0,
86,0,0.72612,-1.24127,0.732859,-1.22833,0,0,0,
87,0,0.727067,-1.24362,0.731904,-1.23048,0,0,0,
