Cycle,Current Task,,Real x[m],Real y[m],Filterd x[m],Filtered y[m],Delivery pos x[m],Delivery pos y[m],Robot move start flag
0,0,1.06851,-1.22368,1.10147,-1.17544,0,0,0,
1,0,1.06298,-1.23129,1.09602,-1.18337,0,0,0,
2,0,1.05829,-1.24047,1.09063,-1.19138,0,0,0,
3,0,1.05204,-1.2508,1.08522,-1.19965,0,0,0,
4,0,1.04612,-1.26137,1.07971,-1.20825,0,0,0,
5,0,1.04122,-1.27081,1.07422,-1.21707,0,0,0,
6,0,1.03953,-1.27326,1.06906,-1.22545,0,0,0,
7,0,1.03838,-1.27506,1.06447,-1.23287,0,0,0,
8,0,1.03735,-1.27692,1.06042,-1.23944,0,0,0,
9,0,1.03561,-1.27874,1.05677,-1.24529,0,0,0,
10,0,1.03401,-1.28069,1.05342,-1.25054,0,0,0,
11,0,1.03408,-1.28081,1.05047,-1.25515,0,0,0,
12,0,1.03477,-1.27885,1.04802,-1.25891,0,0,0,
13,0,1.03728,-1.27114,1.04619,-1.26136,0,0,0,
14,0,1.0387,-1.26075,1.04494,-1.26206,0,0,0,
15,0,1.04222,-1.25178,1.04426,-1.26118,0,0,0,
16,0,1.0517,-1.2295,1.04467,-1.25805,0,0,0,
17,0,1.06081,-1.21277,1.04644,-1.25242,0,0,0,
18,0,1.0654,-1.20714,1.04898,-1.24595,0,0,0,
19,0,1.07064,-1.19531,1.05188,-1.23913,0,0,0,
20,0,1.07654,-1.18322,1.05519,-1.23153,0,0,0,
21,0,1.07977,-1.1773,1.05869,-1.22371,0,0,0,
22,0,1.08057,-1.17508,1.06196,-1.21647,0,0,0,
23,0,1.08066,-1.17491,1.06481,-1.21015,0,0,0,
24,0,1.08214,-1.17319,1.06734,-1.20465,0,0,0,
25,0,1.08228,-1.17309,1.0696,-1.19984,0,0,0,
26,0,1.07963,-1.17572,1.07133,-1.19597,0,0,0,
27,0,1.07945,-1.17597,1.07259,-1.1929,0,0,0,
28,0,1.06331,-1.18668,1.0724,-1.19113,0,0,0,
29,0,1.06151,-1.18786,1.07088,-1.19055,0,0,0,
30,0,1.0588,-1.19214,1.06925,-1.19046,0,0,0,
31,0,1.05723,-1.19511,1.06753,-1.19094,0,0,0,
32,0,1.05559,-1.19842,1.06584,-1.19183,0,0,0,
33,0,1.05166,-1.19811,1.06398,-1.19281,0,0,0,
34,0,1.04749,-1.19943,1.06178,-1.19372,0,0,0,
35,0,1.04235,-1.20073,1.05921,-1.19469,0,0,0,
36,0,1.04132,-1.20076,1.05656,-1.19561,0,0,0,
37,0,1.04049,-1.20021,1.05418,-1.19636,0,0,0,
38,0,1.04064,-1.19749,1.0521,-1.19674,0,0,0,
39,0,1.0394,-1.19743,1.05026,-1.19685,0,0,0,
40,0,1.03867,-1.1969,1.04855,-1.1969,0,0,0,
41,0,1.03755,-1.196,1.04696,-1.19683,0,0,0,
42,0,1.03684,-1.19474,1.04547,-1.1966,0,0,0,
43,0,1.03717,-1.19255,1.04418,-1.19615,0,0,0,
44,0,1.03624,-1.19201,1.04304,-1.19556,0,0,0,
45,0,1.03641,-1.19077,1.04202,-1.19493,0,0,0,
46,0,1.03606,-1.18899,1.04114,-1.19416,0,0,0,
47,0,1.03567,-1.18756,1.04033,-1.19326,0,0,0,
48,0,1.03548,-1.18596,1.03961,-1.19227,0,0,0,
49,0,1.03539,-1.18334,1.03897,-1.19111,0,0,0,
50,0,1.03555,-1.18026,1.03844,-1.18969,0,0,0,
51,0,1.03546,-1.17854,1.03799,-1.18812,0,0,0,
52,0,1.03516,-1.17806,1.03758,-1.18662,0,0,0,
53,0,1.0338,-1.17753,1.03711,-1.18528,0,0,0,
54,0,1.03415,-1.17499,1.03663,-1.1839,0,0,0,
55,0,1.03391,-1.17409,1.03623,-1.18248,0,0,0,
56,0,1.03385,-1.1734,1.03588,-1.18115,0,0,0,
57,0,1.03391,-1.17256,1.03557,-1.1799,0,0,0,
58,0,1.03358,-1.17231,1.03529,-1.17876,0,0,0,
59,0,1.03332,-1.17246,1.03501,-1.17779,0,0,0,
60,0,1.033,-1.17244,1.03473,-1.17698,0,0,0,
61,0,1.03227,-1.17352,1.03441,-1.17637,0,0,0,
62,0,1.03092,-1.17461,1.03398,-1.17602,0,0,0,
63,0,1.03017,-1.1758,1.03346,-1.17589,0,0,0,
64,0,1.02826,-1.17838,1.03281,-1.17607,0,0,0,
65,0,1.02731,-1.17987,1.03204,-1.17654,0,0,0,
66,0,1.02625,-1.18092,1.03124,-1.17713,0,0,0,
67,0,1.02574,-1.18147,1.03044,-1.17775,0,0,0,
68,0,1.02472,-1.18212,1.02965,-1.17836,0,0,0,
69,0,1.02413,-1.18258,1.02885,-1.17897,0,0,0,
70,0,1.02345,-1.18319,1.02808,-1.17957,0,0,0,
71,0,1.0233,-1.1836,1.02736,-1.18015,0,0,0,
72,0,1.02303,-1.18426,1.02672,-1.18073,0,0,0,
73,0,1.02299,-1.18468,1.02616,-1.1813,0,0,0,
74,0,1.02299,-1.18468,1.02568,-1.18181,0,0,0,
75,0,1.02288,-1.18489,1.02526,-1.18227,0,0,0,
76,0,1.02289,-1.18501,1.0249,-1.18268,0,0,0,
77,0,1.02281,-1.18551,1.02458,-1.18307,0,0,0,
78,0,1.02286,-1.18564,1.02432,-1.18345,0,0,0,
79,0,1.0229,-1.18578,1.0241,-1.1838,0,0,0,
80,0,1.02297,-1.18624,1.02392,-1.18413,0,0,0,
81,0,1.02316,-1.18641,1.02379,-1.18447,0,0,0,
82,0,1.02365,-1.18632,1.02373,-1.18476,0,0,0,
83,0,1.0246,-1.18606,1.02379,-1.18498,0,0,0,
84,0,1.02531,-1.18578,1.02397,-1.18512,0,0,0,
85,0,1.02631,-1.18536,1.02425,-1.18519,0,0,0,
86,0,1.02716,-1.18469,1.02463,-1.18516,0,0,0,
87,0,1.02752,-1.1843,1.02504,-1.18506,0,0,0,
88,0,1.02791,-1.18374,1.02545,-1.1849,0,0,0,
89,0,1.02884,-1.18307,1.0259,-1.18467,0,0,0,
90,0,1.03055,-1.18154,1.02648,-1.18431,0,0,0,
91,0,1.0309,-1.18105,1.02712,-1.18385,0,0,0,
92,0,1.03187,-1.18014,1.02777,-1.18336,0,0,0,
93,0,1.03248,-1.17937,1.02844,-1.18281,0,0,0,
94,0,1.03296,-1.17877,1.0291,-1.18224,0,0,0,
95,0,1.03347,-1.17823,1.02972,-1.18167,0,0,0,
96,0,1.03347,-1.17773,1.0303,-1.18111,0,0,0,
97,0,1.03339,-1.1776,1.03077,-1.18058,0,0,0,
98,0,1.03338,-1.17732,1.03117,-1.18011,0,0,0,
99,0,1.03355,-1.1772,1.03152,-1.17967,0,0,0,
100,0,1.03335,-1.17717,1.03182,-1.17929,0,0,0,
101,0,1.03318,-1.17721,1.03204,-1.17897,0,0,0,
102,0,1.03311,-1.17727,1.03221,-1.17871,0,0,0,
103,0,1.03292,-1.17758,1.03233,-1.17851,0,0,0,
104,0,1.03293,-1.17786,1.03242,-1.17839,0,0,0,
105,0,1.03301,-1.17808,1.0325,-1.17833,0,0,0,
106,0,1.03297,-1.17859,1.03258,-1.17833,0,0,0,
107,0,1.03286,-1.1792,1.03263,-1.17841,0,0,0,
108,0,1.03271,-1.17992,1.03265,-1.17859,0,0,0,
109,0,1.03251,-1.18068,1.03265,-1.17885,0,0,0,
110,0,1.03248,-1.18144,1.03262,-1.17919,0,0,0,
111,0,1.03231,-1.18184,1.03259,-1.17956,0,0,0,
