Cycle,Current Task,,Real x[m],Real y[m],Filterd x[m],Filtered y[m],Delivery pos x[m],Delivery pos y[m],Robot move start flag
0,0,0.758016,-1.17477,0.758005,-1.17497,0,0,0,
1,0,0.758021,-1.17474,0.758007,-1.17494,0,0,0,
2,0,0.758028,-1.17472,0.758009,-1.17491,0,0,0,
3,0,0.757897,-1.17455,0.758002,-1.17487,0,0,0,
4,0,0.757898,-1.17447,0.757986,-1.17481,0,0,0,
5,0,0.757863,-1.17437,0.75797,-1.17475,0,0,0,
6,0,0.757793,-1.17418,0.757949,-1.17468,0,0,0,
7,0,0.757886,-1.17354,0.757932,-1.17455,0,0,0,
8,0,0.757886,-1.17354,0.757925,-1.1744,0,0,0,
9,0,0.757859,-1.17343,0.757917,-1.17426,0,0,0,
10,0,0.757719,-1.17337,0.757897,-1.17413,0,0,0,
11,0,0.757418,-1.1734,0.757847,-1.17401,0,0,0,
12,0,0.757316,-1.17325,0.757774,-1.17391,0,0,0,
13,0,0.757464,-1.17321,0.757716,-1.17381,0,0,0,
14,0,0.757449,-1.17324,0.757676,-1.17372,0,0,0,
15,0,0.757419,-1.17329,0.757639,-1.17365,0,0,0,
16,0,0.753138,-1.18504,0.757279,-1.17449,0,0,0,
17,0,0.753296,-1.18514,0.75666,-1.17611,0,0,0,
18,0,0.753156,-1.18548,0.756137,-1.17751,0,0,0,
19,0,0.752841,-1.18578,0.755658,-1.17875,0,0,0,
20,0,0.7529,-1.18589,0.755233,-1.17983,0,0,0,
21,0,0.752761,-1.18626,0.754867,-1.18078,0,0,0,
22,0,0.753283,-1.18679,0.754586,-1.18166,0,0,0,
23,0,0.753687,-1.18711,0.754418,-1.18246,0,0,0,
24,0,0.753789,-1.18764,0.754314,-1.18321,0,0,0,
25,0,0.754239,-1.18771,0.754269,-1.18389,0,0,0,
26,0,0.754579,-1.18801,0.75429,-1.1845,0,0,0,
27,0,0.754897,-1.18823,0.754358,-1.18505,0,0,0,
28,0,0.755051,-1.18831,0.754452,-1.18554,0,0,0,
29,0,0.755541,-1.18874,0.754581,-1.18599,0,0,0,
30,0,0.755563,-1.18892,0.754729,-1.18643,0,0,0,
31,0,0.756336,-1.18879,0.754915,-1.1868,0,0,0,
32,0,0.756398,-1.18875,0.755136,-1.1871,0,0,0,
33,0,0.756688,-1.18865,0.755351,-1.18734,0,0,0,
34,0,0.756858,-1.1885,0.755568,-1.18753,0,0,0,
35,0,0.756961,-1.18855,0.755772,-1.18768,0,0,0,
36,0,0.757425,-1.18848,0.755989,-1.18781,0,0,0,
37,0,0.75753,-1.18855,0.756216,-1.18792,0,0,0,
38,0,0.757565,-1.18856,0.756419,-1.18801,0,0,0,
39,0,0.757623,-1.18855,0.756598,-1.1881,0,0,0,
40,0,0.757489,-1.18857,0.756744,-1.18817,0,0,0,
41,0,0.757491,-1.18844,0.756858,-1.18822,0,0,0,
42,0,0.757207,-1.18833,0.756933,-1.18824,0,0,0,
43,0,0.757493,-1.18805,0.756996,-1.18824,0,0,0,
44,0,0.757132,-1.18782,0.757044,-1.18819,0,0,0,
45,0,0.756953,-1.18768,0.757044,-1.18812,0,0,0,
46,0,0.756875,-1.1876,0.757024,-1.18805,0,0,0,
47,0,0.757142,-1.18737,0.757022,-1.18796,0,0,0,
48,0,0.757098,-1.18717,0.757037,-1.18786,0,0,0,
49,0,0.757098,-1.18696,0.757046,-1.18774,0,0,0,
50,0,0.757183,-1.18681,0.757061,-1.18761,0,0,0,
51,0,0.757183,-1.18681,0.757079,-1.18748,0,0,0,
52,0,0.756827,-1.18643,0.757068,-1.18735,0,0,0,
53,0,0.757069,-1.18619,0.75705,-1.18719,0,0,0,
54,0,0.75727,-1.18604,0.757068,-1.18703,0,0,0,
55,0,0.757314,-1.18586,0.757102,-1.18686,0,0,0,
56,0,0.758037,-1.18525,0.757189,-1.18666,0,0,0,
57,0,0.757808,-1.18495,0.757301,-1.18643,0,0,0,
58,0,0.757502,-1.18484,0.757355,-1.18619,0,0,0,
59,0,0.757873,-1.18446,0.757406,-1.18596,0,0,0,
60,0,0.758015,-1.18424,0.757488,-1.18571,0,0,0,
61,0,0.757712,-1.18374,0.757545,-1.18545,0,0,0,
62,0,0.757808,-1.18364,0.757578,-1.18518,0,0,0,
63,0,0.758023,-1.18334,0.757629,-1.18492,0,0,0,
64,0,0.758259,-1.18316,0.757707,-1.18467,0,0,0,
65,0,0.758213,-1.18324,0.757788,-1.18444,0,0,0,
66,0,0.758242,-1.18315,0.757855,-1.18425,0,0,0,
67,0,0.758279,-1.18306,0.757917,-1.18408,0,0,0,
